상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220804679969,동강별아래,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 224-2,강원특별자치도 영월군 영월읍 섭새길 68-7,128.512812073459,37.230830786572
MA010120220804679970,하늘샘펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 1577-4,강원특별자치도 영월군 영월읍 둥글바위길 58,128.505475609404,37.2029943768259
MA010120220804679973,빨강오뎅,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 253-39,강원특별자치도 영월군 영월읍 중앙로 19,128.465950208449,37.1836778042113
MA010120220804679975,쿨,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 403-2,강원특별자치도 영월군 영월읍 하송로 125,128.458461054269,37.1783643936953
MA010120220804679992,삼성수의원,,Q1,보건의료,Q102,의원,Q10204,피부/비뇨기과 의원,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 187-3,강원특별자치도 영월군 영월읍 중앙1로 15,128.465578756672,37.1825201434968
MA010120220804680003,일미닭강정,,I2,음식,I210,기타 간이,I21006,치킨,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 4-1,강원특별자치도 영월군 영월읍 서부시장길 15,128.466782183539,37.1830278139259
MA010120220804680021,스포츠나라,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 936,강원특별자치도 영월군 영월읍 중앙로 68,128.471157380666,37.1833429587023
MA010120220804680045,유리민박,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 1583,강원특별자치도 영월군 영월읍 동강로 250,128.507101767438,37.2026403374594
MA010120220804680046,브이쿨썬팅영월점블랙박스.오토박스,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 19-1,강원특별자치도 영월군 영월읍 영월로 1981,128.467564160851,37.1815405312089
MA010120220804680049,더박스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 616-1,강원특별자치도 영월군 영월읍 삼옥길 51,128.505334190318,37.2094831340029
MA010120220804680099,레스트플레이스,,I2,음식,I212,비알코올 ,I21201,카페,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 53,강원특별자치도 영월군 영월읍 제방안길 64,128.46782836942,37.1794830360819
MA010120220804680118,라미야,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 944-8,강원특별자치도 영월군 영월읍 하송안길 102,128.468352872733,37.1827290533098
