시도,광역지자체,지표 중분류,지표 소분류,기준년월,지표값
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202511,61.63
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202511,63.58
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202511,64.75
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202511,66.99
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202511,75.13
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202511,66.96
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202511,66.45
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202511,74.3
강원특별자치도,영월군,관광체류강도,숙박 비중,202511,80.64
강원특별자치도,영월군,관광체류강도,1박 방문자수,202511,59.4
강원특별자치도,영월군,관광체류강도,2박 방문자수,202511,62.63
강원특별자치도,영월군,관광체류강도,3박 방문자수,202511,60.07
강원특별자치도,영월군,관광소비강도,외지인 소비액,202511,63.77
강원특별자치도,영월군,관광소비강도,전체 대비 외지인소비액 비중,202511,80.46
강원특별자치도,영월군,관광소비강도,방문량대비방문 소비액,202511,68.78
강원특별자치도,영월군,관광객 다양성,10대 방문객수,202511,57.56
강원특별자치도,영월군,관광객 다양성,20대 방문객수,202511,57.72
